icd10Code;icd10Title;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
Q90-Q99;Aberracje chromosomowe, niesklasyfikowane gdzie indziej;;;;;;
R82.4;Acetonuria;;;;;;
K22.0;Achalazja wpustu;;;;;;
Q77.4;Achondroplazja;;;;;;
Q77.4;Achondroplazja;;;;;;
L57.1;Actinic reticuloid;;;;;;
A87.1;Adenowirusowe zapalenie opon mózgowo-rdzeniowych (G02.0*);;;;;;
R49.1;Afonia;;;;;;
Q30.1;Agenezja i niedorozwój nosa;;;;;;
Q60.2;Agenezja nerki, nieokreślona;;;;;;
R48.1;Agnozja;;;;;;
F40.0;Agorafobia;;;;;;
B60.1;Akantameboza;;;;;;
E22.0;Akromegalia i gigantyzm przysadkowy;;;;;;
R00.3;Aktywność elektryczna bez tętna, niesklasyfikowana gdzie indziej;;;;;;
T78.4;Alergia, nieokreślona;;;;;;
T78.4;Alergia, nieokreślona;;;;;;
T78.4;Alergia, nieokreślona;;;;;;
T78.4;Alergia, nieokreślona;;;;;;
T78.4;Alergia, nieokreślona;;;;;;
T78.4;Alergia, nieokreślona;;;;;;
T78.4;Alergia, nieokreślona;;;;;;
T78.4;Alergia, nieokreślona;;;;;;
T78.4;Alergia, nieokreślona;;;;;;
T78.4;Alergia, nieokreślona;;;;;;
T78.4;Alergia, nieokreślona;;;;;;
T78.4;Alergia, nieokreślona;;;;;;
T78.4;Alergia, nieokreślona;;;;;;
T78.4;Alergia, nieokreślona;;;;;;
T78.4;Alergia, nieokreślona;;;;;;
T78.4;Alergia, nieokreślona;;;;;;
T78.4;Alergia, nieokreślona;;;;;;
T78.4;Alergia, nieokreślona;;;;;;
T78.4;Alergia, nieokreślona;;;;;;
T78.4;Alergia, nieokreślona;;;;;;
L23;Alergiczne kontaktowe zapalenie skóry;;;;;;
L23;Alergiczne kontaktowe zapalenie skóry;;;;;;
L23;Alergiczne kontaktowe zapalenie skóry;;;;;;
L23;Alergiczne kontaktowe zapalenie skóry;;;;;;
L23;Alergiczne kontaktowe zapalenie skóry;;;;;;
L23;Alergiczne kontaktowe zapalenie skóry;;;;;;
L23;Alergiczne kontaktowe zapalenie skóry;;;;;;
L23;Alergiczne kontaktowe zapalenie skóry;;;;;;
L23;Alergiczne kontaktowe zapalenie skóry;;;;;;
L23.9;Alergiczne kontaktowe zapalenie skóry o nieokreślonej przyczynie;;;;;;
L23.8;Alergiczne kontaktowe zapalenie skóry wywołane przez inne czynniki;;;;;;
L23.8;Alergiczne kontaktowe zapalenie skóry wywołane przez inne czynniki;;;;;;
L23.8;Alergiczne kontaktowe zapalenie skóry wywołane przez inne czynniki;;;;;;
L23.5;Alergiczne kontaktowe zapalenie skóry wywołane przez inne środki chemiczne;;;;;;
L23.3;Alergiczne kontaktowe zapalenie skóry wywołane przez kontakt leków ze skórą;;;;;;
L23.6;Alergiczne kontaktowe zapalenie skóry wywołane przez kontakt pokarmów ze skórą;;;;;;
L23.0;Alergiczne kontaktowe zapalenie skóry wywołane przez kontakt z metalami;;;;;;
L23.2;Alergiczne kontaktowe zapalenie skóry wywołane przez kosmetyki;;;;;;
L23.7;Alergiczne kontaktowe zapalenie skóry wywołane przez rośliny, z wyjątkiem żywności;;;;;;
L23.1;Alergiczne kontaktowe zapalenie skóry wywołane przez substancje klejące;;;;;;
K52.2;Alergiczne pokarmowe zapalenie żołądka, jelita cienkiego i okrężnicy;;;;;;
K52.2;Alergiczne pokarmowe zapalenie żołądka, jelita cienkiego i okrężnicy;;;;;;
K52.2;Alergiczne pokarmowe zapalenie żołądka, jelita cienkiego i okrężnicy;;;;;;
K52.2;Alergiczne pokarmowe zapalenie żołądka, jelita cienkiego i okrężnicy;;;;;;
K52.2;Alergiczne pokarmowe zapalenie żołądka, jelita cienkiego i okrężnicy;;;;;;
K52.2;Alergiczne pokarmowe zapalenie żołądka, jelita cienkiego i okrężnicy;;;;;;
