Identyfikator Produktu Leczniczego;Nazwa Produktu Leczniczego;Rodzaj preparatu;Moc;Postać farmaceutyczna;;
100004957;Aminoplasmal Hepa 10%;Ludzki;;Roztwór do infuzji;;
100005744;Anapran;Ludzki;;;;
100006399;Carboplatin Pfizer;Ludzki;;;;
100007358;Arechin;Ludzki;;Rozpuszczalnik do sporządzania leków parenteralnych;;
100007714;Asmag;Ludzki;;Płyn do stosowania na skórę;;
100013330;Cefaleksyna TZF;Ludzki;;;;
100036584;Laktomag B6;Ludzki;;Zioła do zaparzania;;
100039186;Liść Pokrzywy;Ludzki;;Zioła do zaparzania;;
100039430;Lithium Carbonicum GSK;Ludzki;;Zioła do zaparzania;;
100039476;Locoid;Ludzki;;Zioła do zaparzania w saszetkach;;
100065203;Tabletki tonizujące Labofarm;Ludzki;;Zioła do zaparzania;;
100069566;Ursofalk;Ludzki;;;;
100070351;Vessel due F;Ludzki;;;;
100088173;Prostavasin 60;Ludzki;;Roztwór do infuzji;;
100088919;Serevent Dysk;Ludzki;;;;
100093961;Flixotide Dysk;Ludzki;;;;
100096072;Robitussin Expectorans;Ludzki;;;;
100097090;Ofloxacin-POS;Ludzki;;Gaz;;
100097367;Paracetamol Hasco;Ludzki;;;;
100100000;Concor Cor 7,5;Ludzki;;;;
100109610;Tussidex;Ludzki;;;;
100116410;Mononit 100 Retard;Ludzki;;Płyn doustny i na skórę;;
100118402;Bisoratio 10;Ludzki;;Zioła do zaparzania;;
100118477;Opatanol;Ludzki;;Zioła do zaparzania;;
100119028;Simratio 10;Ludzki;;Zioło pojedyncze niedozowane;;
100119258;Carvetrend;Ludzki;;Zioła do zaparzania;;
100124220;Tanatril;Ludzki;;;;
100124800;Alermed;Ludzki;;Roztwór do skórnych prób punktowych;;
100127648;Yentreve;Ludzki;;Zawiesina do wstrzykiwań;;
100129216;Glibetic 2 mg;Ludzki;;;;
100133620;Krople nasercowe;Ludzki;;Syrop;;
100133703;Krople nasercowe;Ludzki;;Zioła do zaparzania w saszetkach;;
100134039;Atrox 10;Ludzki;;Zawiesina do wstrzykiwań;;
100134312;Nexavar;Ludzki;;Zioła do zaparzania;;
100134507;Contix;Ludzki;;;;
100136340;Omnic Ocas 0,4;Ludzki;;;;
100140092;Lidoposterin;Ludzki;;Zawiesina do wstrzykiwań;;
100143222;Ketilept 100 mg;Ludzki;;Zioła do zaparzania w saszetkach;;
100143535;Pasta cynkowa z kwasem salicylowym;Ludzki;;Zioła do zaparzania;;
100143676;Avenoc;Ludzki;;Zioła do zaparzania;;
100143742;Olej kamforowy;Ludzki;;Zioła do zaparzania;;
100147993;Spirytus kamforowy;Ludzki;;Rozpuszczalnik do sporządzania leków parenteralnych;;
100149420;Spirytus mrówczany GEMI;Ludzki;;Krople doustne, roztwór;;
100152830;Zioła przeciwreumatyczne;Ludzki;;Zioła do zaparzania;;
100160344;Fokusin;Ludzki;;Proszek i rozpuszczalnik do sporządzania zawiesiny doustnej;;
100162320;Pabal;Ludzki;;Roztwór doustny;;
100164098;Tantum Verde Forte;Ludzki;;Roztwór do infuzji;;
100168914;Vitaminum A + E Synteza;Ludzki;;;;
100168989;Absenor;Ludzki;;;;
100169233;Tobrosopt-DEX;Ludzki;;;;
100170035;Alyostal;Ludzki;;;;
100170325;Taflotan;Ludzki;;;;
100170408;Cialis;Ludzki;;;;
100170615;Flukonazol roztwór do infuzji 2 mg/ml;Ludzki;;;;
100170733;Simcovas;Ludzki;;;;
100170762;Envil kaszel;Ludzki;;;;
100171141;Owoc Borówki czernicy;Ludzki;;;;
100171282;Procto-Hemolan protect;Ludzki;;;;
100171336;Exforge;Ludzki;;;;
100171448;Frimig;Ludzki;;;;
100171721;Owoc Róży;Ludzki;;;;
100172034;Optison;Ludzki;;;;
100172100;Parafina ciekła LGO;Ludzki;;;;
100172181;Mircera;Ludzki;;;;
100172287;Zypsila;Ludzki;;;;
100172554;Coronal 10;Ludzki;;;;
100172577;Fentanyl Actavis;Ludzki;;;;
100172590;Fentanyl Actavis;Ludzki;;;;
100172614;Inegy;Ludzki;;;;
100172620;Fentanyl Actavis;Ludzki;;;;
100172650;Inegy;Ludzki;;;;
100172689;Inegy;Ludzki;;;;
100172695;Inegy;Ludzki;;;;
100172710;Mastodynon N;Ludzki;;;;
100172755;Nurofen Express Forte Tabs;Ludzki;;;;
100172991;Diacomit;Ludzki;;;;
100173000;Diacomit;Ludzki;;;;
100173022;Diacomit;Ludzki;;;;
100173097;Vertix;Ludzki;;;;
100173128;Vertix;Ludzki;;;;
100173269;Fluconazole Polfarmex;Ludzki;;;;
100173329;Finpros 5 mg;Ludzki;;;;
100173335;Hyplafin;Ludzki;;;;
100173418;Mirtor;Ludzki;;;;
100173648;Paclitaxel-Ebewe;Ludzki;;;;
